Word,Count,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7
seize,5,prehend,clutch,take (generic term),get hold of (generic term),,,
seize,5,take (generic term),get hold of (generic term),,,,,
seize,5,appropriate,capture,conquer,assume (generic term),usurp (generic term),seize (generic term),take over (generic term)
seize,5,impound,attach,sequester,confiscate,take (generic term),,
seize,5,assume,usurp,take over,arrogate,take (generic term),,
seize,5,hook (generic term),,,,,,
seize,5,clutch,get hold of,overwhelm (generic term),overpower (generic term),sweep over (generic term),whelm (generic term),overcome (generic term)
seize,5,grab,intrigue (generic term),fascinate (generic term),,,,
selar,5,Selar,genus Selar,fish genus (generic term),,,,
seles,5,Seles,Monica Seles,tennis player (generic term),,,,
selma,5,Selma,town (generic term),,,,,
selva,5,tropical rain forest,rain forest (generic term),rainforest (generic term),,,,
semen,5,seed,seminal fluid,ejaculateliquid body substance (generic term),bodily fluid (generic term),body fluid (generic term),humor (generic term),humour (generic term)
senna,5,shrub (generic term),bush (generic term),,,,,
senor,5,Senor,title (generic term),title of respect (generic term),form of address (generic term),,,
sense,5,awareness (generic term),consciousness (generic term),cognizance (generic term),cognisance (generic term),knowingness (generic term),,
sense,5,signified,meaning (generic term),significance (generic term),signification (generic term),import (generic term),,
sense,5,sensation,sentience,sentiency,sensory faculty,faculty (generic term),mental faculty (generic term),module (generic term)
sense,5,common sense,good sense,gumption,horse sense,mother wit,sagacity (generic term),sagaciousness (generic term)
sense,5,appreciation (generic term),grasp (generic term),hold (generic term),,,,
sense,5,feel,perceive (generic term),comprehend (generic term),,,,
sense,5,detect (generic term),observe (generic term),find (generic term),discover (generic term),notice (generic term),,
sense,5,perceive (generic term),,,,,,
sense,5,understand (generic term),,,,,,
sente,5,Lesotho monetary unit (generic term),,,,,,
seoul,5,Seoul,capital of South Korea,national capital (generic term),,,,
sepal,5,floral leaf (generic term),,,,,,
sepia,5,reddish brown,burnt sienna,Venetian red,brown (generic term),brownness (generic term),,
sepia,5,pigment (generic term),,,,,,
sepia,5,Sepia,genus Sepia,mollusk genus (generic term),,,,
serax,5,oxazepam,Serax,minor tranquilizer (generic term),minor tranquillizer (generic term),minor tranquilliser (generic term),antianxiety drug (generic term),anxiolytic (generic term)
serer,5,Serer,West African (generic term),,,,,
serge,5,fabric (generic term),cloth (generic term),material (generic term),textile (generic term),,,
serif,5,seriph,line (generic term),,,,,
serin,5,finch (generic term),,,,,,
serow,5,goat antelope (generic term),,,,,,
serra,5,Serra,Junipero Serra,Miguel Jose Serra,missionary (generic term),missioner (generic term),,
serum,5,blood serum,liquid body substance (generic term),bodily fluid (generic term),body fluid (generic term),humor (generic term),humour (generic term),
serve,5,service,tennis stroke (generic term),tennis shot (generic term),,,,
serve,5,function,suffice (generic term),do (generic term),answer (generic term),serve (generic term),,
serve,5,work (generic term),do work (generic term),,,,,
serve,5,effect (generic term),effectuate (generic term),set up (generic term),,,,
serve,5,service,function (generic term),work (generic term),operate (generic term),go (generic term),run (generic term),
serve,5,help,provide (generic term),supply (generic term),ply (generic term),cater (generic term),,
serve,5,serve up,dish out,dish up,dish,provide (generic term),supply (generic term),ply (generic term)
serve,5,work (generic term),,,,,,
serve,5,serve well,foster (generic term),nurture (generic term),,,,
serve,5,do,spend (generic term),pass (generic term),,,,
serve,5,attend to,wait on,attend,assist,help (generic term),assist (generic term),aid (generic term)
serve,5,process,swear out,deliver (generic term),,,,
serve,5,suffice,do,answer,satisfy (generic term),fulfill (generic term),fulfil (generic term),live up to (generic term)
serve,5,work (generic term),do work (generic term),,,,,
serve,5,service,copulate (generic term),mate (generic term),pair (generic term),couple (generic term),,
serve,5,move (generic term),go (generic term),,,,,
servo,5,servomechanical,control system (related term),,,,,
servo,5,servomechanism,servosystem,control system (generic term),,,,
seton,5,Seton,Elizabeth Seton,Saint Elizabeth Ann Bayley Seton,Mother Seton,religious leader (generic term),,
setup,5,apparatus,equipment (generic term),,,,,
setup,5,manner (generic term),mode (generic term),style (generic term),way (generic term),fashion (generic term),,
setup,5,frame-up,falsification (generic term),falsehood (generic term),,,,
seven,5,7,vii,cardinal (similar term),,,,
seven,5,7,VII,sevener,heptad,septet,septenary,digit (generic term)
sever,5,break up,separate (generic term),disunite (generic term),divide (generic term),part (generic term),,
sever,5,discerp,lop,cut (generic term),,,,
sewed,5,sewn,stitched,seamed (similar term),,,,
sewer,5,sewerage,cloaca,drain (generic term),drainpipe (generic term),waste pipe (generic term),,
sewer,5,needleworker (generic term),,,,,,
sewer,5,gutter,toilet,misfortune (generic term),bad luck (generic term),tough luck (generic term),ill luck (generic term),
sexed,5,sexual (similar term),,,,,,
sexed,5,sexy (similar term),,,,,,
shabu,5,methamphetamine,methamphetamine hydrochloride,Methedrine,meth,deoxyephedrine,chalk,chicken feed
shack,5,hovel,hut,hutch,shanty,shelter (generic term),,
shack,5,reside,domicile,domiciliate,dwell (generic term),live (generic term),inhabit (generic term),
shack,5,trail,travel (generic term),go (generic term),move (generic term),locomote (generic term),,
shade,5,shadiness,shadowiness,semidarkness (generic term),,,,
shade,5,tint,tincture,tone,color (generic term),colour (generic term),coloring (generic term),colouring (generic term)
shade,5,protective covering (generic term),protective cover (generic term),protection (generic term),,,,
shade,5,nuance,nicety,subtlety,refinement,meaning (generic term),significance (generic term),signification (generic term)
shade,5,inferiority (generic term),lower status (generic term),lower rank (generic term),,,,
shade,5,tad,small indefinite quantity (generic term),small indefinite amount (generic term),,,,
shade,5,ghost,spook,wraith,specter,spectre,apparition (generic term),phantom (generic term)
shade,5,representation (generic term),,,,,,
shade,5,shadow,shade off,obscure (generic term),bedim (generic term),overcloud (generic term),,
shade,5,fill in,draw (generic term),paint (generic term),,,,
shade,5,screen (generic term),block out (generic term),,,,,
shady,5,fly-by-night,untrustworthy (similar term),untrusty (similar term),,,,
shady,5,louche,disreputable (similar term),,,,,
shady,5,fishy,funny,suspect,suspicious,questionable (similar term),,
shady,5,shadowed,shadowy,umbrageous,shaded (similar term),,,
shaft,5,line (generic term),,,,,,
shaft,5,shot,slam,dig,barb,jibe,gibe,remark (generic term)
shaft,5,rod (generic term),,,,,,
shaft,5,beam,beam of light,light beam,ray,ray of light,shaft of light,irradiation
shaft,5,diaphysis,long bone (generic term),os longum (generic term),,,,
shaft,5,spear,lance,weapon (generic term),arm (generic term),weapon system (generic term),,
shaft,5,passageway (generic term),,,,,,
shaft,5,scape,upright (generic term),vertical (generic term),,,,
shaft,5,passage (generic term),,,,,,
shaft,5,rotating shaft,rod (generic term),,,,,
shaft,5,quill,calamus,rib (generic term),,,,
shaft,5,equip (generic term),fit (generic term),fit out (generic term),outfit (generic term),,,
shaft,5,cheat,chouse,screw,chicane,jockey,beat (generic term),beat out (generic term)
shahn,5,Shahn,Ben Shahn,Benjamin Shahn,painter (generic term),,,
shake,5,shingle,building material (generic term),,,,,
shake,5,milkshake,milk shake,drink (generic term),,,,
shake,5,trill,note (generic term),musical note (generic term),tone (generic term),,,
shake,5,handshake,handshaking,handclasp,acknowledgment (generic term),acknowledgement (generic term),,
shake,5,tremble,shiver,reflex (generic term),instinctive reflex (generic term),innate reflex (generic term),inborn reflex (generic term),unconditioned reflex (generic term)
shake,5,wag,waggle,agitation (generic term),,,,
shake,5,agitate,move (generic term),,,,,
shake,5,didder,move involuntarily (generic term),move reflexively (generic term),,,,
shake,5,judder,vibrate (generic term),,,,,
shake,5,rock,sway,move back and forth (generic term),,,,
shake,5,weaken (generic term),,,,,,
shake,5,stimulate,shake up,excite,stir,arouse (generic term),elicit (generic term),enkindle (generic term)
shake,5,shake off,throw off,escape from,escape (generic term),get away (generic term),break loose (generic term),
shake,5,change (generic term),alter (generic term),modify (generic term),,,,
shake,5,gesticulate (generic term),gesture (generic term),motion (generic term),,,,
shako,5,bearskin,busby,hat (generic term),chapeau (generic term),lid (generic term),,
shaky,5,rickety,wobbly,wonky,unstable (similar term),,,
shaky,5,shivering,trembling,unsteady (similar term),,,,
shaky,5,precarious,insecure (similar term),unsafe (similar term),,,,
shale,5,sedimentary rock (generic term),,,,,,
shame,5,feeling (generic term),,,,,,
shame,5,disgrace,ignominy,dishonor (generic term),dishonour (generic term),,,
shame,5,pity,misfortune (generic term),bad luck (generic term),,,,
shame,5,dishonor,disgrace,dishonour,attaint,honor (antonym),,
shame,5,compel (generic term),oblige (generic term),obligate (generic term),,,,
shame,5,arouse (generic term),elicit (generic term),enkindle (generic term),kindle (generic term),evoke (generic term),fire (generic term),raise (generic term)
shame,5,surpass (generic term),outstrip (generic term),outmatch (generic term),outgo (generic term),exceed (generic term),outdo (generic term),surmount (generic term)
shang,5,Shang,Shang dynasty,dynasty (generic term),,,,
shank,5,cut (generic term),cut of meat (generic term),,,,,
shank,5,body part (generic term),,,,,,
shank,5,stem,cylinder (generic term),,,,,
shank,5,cylinder (generic term),,,,,,
shank,5,cylinder (generic term),,,,,,
shank,5,waist,part (generic term),portion (generic term),,,,
shank,5,cannon,body part (generic term),,,,,
shank,5,golf stroke (generic term),golf shot (generic term),swing (generic term),,,,
shank,5,hit (generic term),,,,,,
shape,5,form,configuration,contour,conformation,spatial property (generic term),spatiality (generic term),
shape,5,form,attribute (generic term),,,,,
shape,5,human body,physical body,material body,soma,build,figure,physique
shape,5,embodiment,concretism (generic term),concrete representation (generic term),,,,
shape,5,form,cast,appearance (generic term),visual aspect (generic term),,,
shape,5,condition,good health (generic term),healthiness (generic term),,,,
shape,5,Supreme Headquarters Allied Powers Europe,SHAPE,high command (generic term),supreme headquarters (generic term),,,
shape,5,form,pattern,structure (generic term),,,,
shape,5,determine,mold,influence,regulate,cause (generic term),do (generic term),make (generic term)
shape,5,form,work,mold,mould,forge,create from raw material (generic term),create from raw stuff (generic term)
shape,5,form,change (generic term),alter (generic term),modify (generic term),,,
shard,5,sherd,fragment,piece (generic term),,,,
share,5,stock certificate (generic term),stock (generic term),,,,,
share,5,portion,part,percentage,assets (generic term),,,
share,5,parcel,portion,allotment (generic term),apportionment (generic term),apportioning (generic term),allocation (generic term),parceling (generic term)
share,5,contribution,part,attempt (generic term),effort (generic term),endeavor (generic term),endeavour (generic term),try (generic term)
share,5,plowshare,ploughshare,wedge (generic term),,,,
share,5,overlap (generic term),,,,,,
share,5,use (generic term),utilize (generic term),utilise (generic term),apply (generic term),employ (generic term),,
share,5,partake,partake in,get (generic term),acquire (generic term),,,
share,5,divvy up,portion out,apportion,deal,distribute (generic term),give out (generic term),hand out (generic term)
share,5,communicate (generic term),intercommunicate (generic term),,,,,
shari,5,Shari,Shari River,Chari,Chari River,river (generic term),,
shark,5,elasmobranch (generic term),selachian (generic term),,,,,
shark,5,wrongdoer (generic term),offender (generic term),,,,,
shark,5,expert (generic term),,,,,,
shark,5,cheat (generic term),chisel (generic term),,,,,
shark,5,fish (generic term),,,,,,
sharp,5,crisp,distinct (similar term),,,,,
sharp,5,acuate,acute,needlelike,pointed (similar term),,,
sharp,5,acute,discriminating,incisive,keen,knifelike,penetrating,penetrative
sharp,5,astute,shrewd,smart (similar term),,,,
sharp,5,sharp-worded,tart,unpleasant (similar term),,,,
sharp,5,piercing,shrill,high (similar term),high-pitched (similar term),,,
sharp,5,abrupt,precipitous,steep (similar term),,,,
